"flower_id","flower_name","file","source_url","photographer","downloaded_at","license_note"
"1","バラ","images/flowers/v6/001.jpg","https://www.pexels.com/photo/vibrant-red-rose-bloom-in-natural-garden-setting-37005791/","","2026-04-15","Pexels License"
"2","ひまわり","images/flowers/v6/002.jpg","https://www.pexels.com/photo/vibrant-sunflower-bloom-in-mountain-landscape-36958320/","","2026-04-15","Pexels License"
"3","桜","images/flowers/v6/003.jpg","https://www.pexels.com/photo/selective-focus-photography-of-white-cherry-blossom-flowers-1009831/","","2026-04-15","Pexels License"
"4","アネモネ","images/flowers/v6/004.jpg","https://www.pexels.com/photo/close-up-of-a-vibrant-anemone-flower-35486027/","","2026-04-15","Pexels License"
"5","イチジク","images/flowers/v6/005.jpg","https://images.pexels.com/photos/36781747/pexels-photo-36781747.jpeg","","2026-04-15","Pexels License"
"6","カスミソウ","images/flowers/v6/006.jpg","https://www.pexels.com/photo/bunch-of-baby-s-breath-flowers-in-bloom-6856005/","","2026-04-15","Pexels License"
"7","クジャクアスター","images/flowers/v6/007.jpg","https://www.pexels.com/photo/vibrant-aster-flowers-blooming-in-abundance-30133634/","","2026-04-15","Pexels License"
"8","シュッコンカスミソウ","images/flowers/v6/008.jpg","https://www.pexels.com/photo/branches-of-blooming-gypsophila-on-thin-stems-6045500/","","2026-04-15","Pexels License"
"9","シロツメクサ","images/flowers/v6/009.jpg","https://www.pexels.com/photo/white-clover-flowers-in-bloom-12892814/","","2026-04-15","Pexels License"
"10","ナルシッサス・オドルス","images/flowers/v6/010.jpg","https://www.pexels.com/photo/elegant-white-narcissus-on-soft-background-37001570/","","2026-04-15","Pexels License"
"11","ミヤコワスレ","images/flowers/v6/011_fix2.jpg","https://images.pexels.com/photos/5519492/pexels-photo-5519492.jpeg","","2026-04-15","Pexels License"
"12","ワスレナグサ","images/flowers/v6/012.jpg","https://www.pexels.com/photo/close-up-photograph-of-forget-me-not-flowers-12358249/","","2026-04-15","Pexels License"
"13","カーネーション","images/flowers/v6/013.jpg","https://www.pexels.com/photo/pink-carnation-flowers-in-close-up-photography-7026637/","","2026-04-15","Pexels License"
"14","ガーベラ","images/flowers/v6/014.jpg","https://www.pexels.com/photo/pink-gerbera-flower-in-closeup-photography-850359/","","2026-04-15","Pexels License"
"15","ラベンダー","images/flowers/v6/015.jpg","https://www.pexels.com/photo/blooming-lavender-at-sunset-4486884/","","2026-04-15","Pexels License"
"16","アジサイ","images/flowers/v6/016.jpg","https://www.pexels.com/photo/vibrant-pink-hydrangea-blooms-in-lush-garden-setting-32746637/","","2026-04-15","Pexels License"
